,id,name,rating,address,description,review,alias,image_url,is_closed,review_count,latitude,longitude,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,ZTBYCLK-6ZMS3U9m-98lIQ,Cruz Blanca de Vallecas,4.0,"Calle de Carlos Martín Álvarez, 58, 28018 Madrid, Spain",Spanish ,,cruz-blanca-de-vallecas-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/hJ43NZlUSnr2UgHGcvBhvQ/o.jpg,False,6,40.3878642818397,-3.66517400732736,"{'address1': 'Calle de Carlos Martín Álvarez, 58', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28018', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Carlos Martín Álvarez, 58', '28018 Madrid', 'Spain']}",+34 914 77 34 38,€€€,,[],,,,,,,
1,ZpS8ZCv1FtXhk5mdl0Zl7g,Las Costillas,4.0,"Calle de Tajos Altos, 12, 28053 Madrid, Spain",Barbeque Steakhouses ,,las-costillas-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/77AYKWblwI-VUik4pZut5g/o.jpg,False,9,40.39504,-3.66666,"{'address1': 'Calle de Tajos Altos, 12', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28053', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Tajos Altos, 12', '28053 Madrid', 'Spain']}",+34 914 77 33 69,€€€,,[],,,,,,,
2,EAcKImGvnwVVQaEfoIxaZw,La Terracita del Cheff Latino,4.0,"Calle de la Cordillera de Cuera, 2, 28053 Madrid, Spain",Latin American Peruvian ,,la-terracita-del-cheff-latino-madrid-2,https://s3-media3.fl.yelpcdn.com/bphoto/iNUweC1D3G3ZtaL_a-axww/o.jpg,False,3,40.38903,-3.66743,"{'address1': 'Calle de la Cordillera de Cuera, 2', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28053', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Cordillera de Cuera, 2', '28053 Madrid', 'Spain']}",+34 914 77 46 21,,,[],,,,,,,
3,YMyI_aLG-Q6h2ToXXDIcWQ,La Cervecera,4.0,"Calle del Monte Perdido, 61, 28053 Madrid, Spain",Spanish ,,la-cervecera-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/hx9HfKus5ZNq5QZCVHFFZg/o.jpg,False,9,40.39319,-3.66689,"{'address1': 'Calle del Monte Perdido, 61', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28053', 'country': 'ES', 'state': 'M', 'display_address': ['Calle del Monte Perdido, 61', '28053 Madrid', 'Spain']}",+34 914 77 91 55,€€,,[],,,,,,,
4,mYu_-mPR4PvRUg1mdnSnhg,Los Urias,4.0,"Calle de Manuel Maroto, 13, 28053 Madrid, Spain",Tapas Bars ,,los-urias-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/uA5H47x1JuNfdv8WLDOwXQ/o.jpg,False,1,40.3887799,-3.66833,"{'address1': 'Calle de Manuel Maroto, 13', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28053', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Manuel Maroto, 13', '28053 Madrid', 'Spain']}",+34 914 78 80 54,,,[],,,,,,,
5,U0o4ves63GqruDB67oLuPA,El Cortijo,5.0,"Calle Josefa Díaz, 4, 28038 Madrid, Spain",Tablao Flamenco Spanish ,"We loved the Flamenco show, the singer and guitar player were great and the three dancers were excellent. It felt authentic and heartfelt. We visited this.... The dancing and singing are phenomenal. The singing is soulful, with a haunting Moorish flair. The dancing is violently passionate and sensual.... ",el-cortijo-madrid-5,https://s3-media2.fl.yelpcdn.com/bphoto/w8WeUvA0387eRPCnTznJZw/o.jpg,False,3,40.3931908479398,-3.65738864285277,"{'address1': 'Calle Josefa Díaz, 4', 'address2': None, 'address3': '', 'city': 'Madrid', 'zip_code': '28038', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Josefa Díaz, 4', '28038 Madrid', 'Spain']}",+34 610 76 53 84,,,[],,,,,,,
6,xg6OuyONblPnL0_YlVAg9w,Il Bambino de la Bambola,4.5,"Calle Martinez de la Riva, 36, 28053 Madrid, Spain",Italian ,,il-bambino-de-la-bambola-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/-Yc2rHfz_-s-T0xdaB8eqA/o.jpg,False,2,40.3925531,-3.6659534,"{'address1': 'Calle Martinez de la Riva, 36', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28053', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Martinez de la Riva, 36', '28053 Madrid', 'Spain']}",+34 914 77 43 52,€€,,[],,,,,,,
7,QEyitWv2slDZUVYi4HrEPQ,Cervecería 100 Montaditos,5.0,"Avenida de la Albufera, 67, 28038 Madrid, Spain",Sandwiches Tapas Bars ,This place was so much fun. I didn't realize that it was a chain but stumbling across it was one of the best things that happened. If you want to try.... ,cervecería-100-montaditos-madrid-7,https://s3-media2.fl.yelpcdn.com/bphoto/mFPptqH0U_OX8NIo8luS7g/o.jpg,False,4,40.3955318,-3.663671,"{'address1': 'Avenida de la Albufera, 67', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28038', 'country': 'ES', 'state': 'M', 'display_address': ['Avenida de la Albufera, 67', '28038 Madrid', 'Spain']}",+34 914 77 82 39,€,,[],,,,,,,
8,uznjDClsa_I-mTgVD5cktA,Callao 24 by Jhosef,4.5,"Calle del Monte Oliveti, 19, 28038 Madrid, Spain",Peruvian ,,callao-24-by-jhosef-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/OOAk3pEZ8a5ptl7j6tOhJg/o.jpg,False,3,40.3980231095797,-3.66714298725128,"{'address1': 'Calle del Monte Oliveti, 19', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28038', 'country': 'ES', 'state': 'M', 'display_address': ['Calle del Monte Oliveti, 19', '28038 Madrid', 'Spain']}",+34 910 85 22 10,€€,,[],,,,,,,
9,ZkSqDED8MneJkrZBSZl3WQ,Bailén,4.0,"Avenida de San Diego, 59, 28053 Madrid, Spain",Tapas Bars ,,bailén-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/-TWhTagHRq7kMjS2t1sRqA/o.jpg,False,2,40.38731,-3.66865,"{'address1': 'Avenida de San Diego, 59', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28053', 'country': 'ES', 'state': 'M', 'display_address': ['Avenida de San Diego, 59', '28053 Madrid', 'Spain']}",+34 914 78 80 12,€,,[],,,,,,,
